Tue Aug 25 12:23:32 2020

arraySize_param = 80
mseThreshold_param = 0.002
publish_rate = 10

prevInputArraySize: 74, newInputArraySize: 74, truncatedArraySize: 80
prevInputArraySize: 74, newInputArraySize: 74, truncatedArraySize: 80
prevInputArraySize: 74, newInputArraySize: 75, truncatedArraySize: 80
prevInputArraySize: 75, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 79, truncatedArraySize: 80
prevInputArraySize: 79, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 81, truncatedArraySize: 80
Updating static variables for the next callback
prevTruncatedArray populated
prevInputArraySize reset to newInputArraySize
Publishing number of loop closures and the recent pose array
<====================================>

prevInputArraySize: 81, newInputArraySize: 81, truncatedArraySize: 80
prevInputArraySize: 81, newInputArraySize: 81, truncatedArraySize: 80
prevInputArraySize: 81, newInputArraySize: 82, truncatedArraySize: 80
(0.0178423, 0.00142788, 0.00952052) - (0.0178423, 0.00142788, 0.00952052)
(0.0223273, 0.00426658, 0.0129246) - (0.0223273, 0.00426658, 0.0129246)
(0.0265355, 0.00586332, 0.0162064) - (0.0265355, 0.00586332, 0.0162064)
(0.0294775, 0.0065717, 0.0186864) - (0.0294775, 0.0065717, 0.0186864)
(0.0313301, 0.00711819, 0.0209856) - (0.0313301, 0.00711819, 0.0209856)
(0.0333646, 0.00652194, 0.0224725) - (0.0333646, 0.00652194, 0.0224725)
(0.033921, 0.00572446, 0.0230393) - (0.033921, 0.00572446, 0.0230393)
(0.0333121, 0.00499622, 0.0240588) - (0.0333121, 0.00499622, 0.0240588)
(0.0316551, 0.00378189, 0.0242076) - (0.0316551, 0.00378189, 0.0242076)
(0.0303951, 0.00343831, 0.0238874) - (0.0303951, 0.00343831, 0.0238874)
(0.0295028, 0.00301853, 0.0241058) - (0.0295028, 0.00301853, 0.0241058)
(0.0281393, 0.00254406, 0.0236065) - (0.0281393, 0.00254406, 0.0236065)
(0.02687, 0.00299227, 0.0226492) - (0.02687, 0.00299227, 0.0226492)
(0.0253605, 0.00352265, 0.0212316) - (0.0253605, 0.00352265, 0.0212316)
(0.0237894, 0.00427899, 0.0198457) - (0.0237894, 0.00427899, 0.0198457)
(0.0218267, 0.00495965, 0.018506) - (0.0218267, 0.00495965, 0.018506)
(0.0205379, 0.005164, 0.0194958) - (0.0205379, 0.005164, 0.0194958)
(0.020362, 0.00464719, 0.0224357) - (0.020362, 0.00464719, 0.0224357)
(0.0234836, 0.00215444, 0.0289599) - (0.0234836, 0.00215444, 0.0289599)
(0.0314093, -0.00248428, 0.0412694) - (0.0314093, -0.00248428, 0.0412694)
(0.125913, -0.0057754, 0.033636) - (0.125913, -0.0057754, 0.033636)
(0.286389, -0.0181232, 0.026762) - (0.286389, -0.0181232, 0.026762)
(0.387813, -0.0299169, 0.0251811) - (0.387813, -0.0299169, 0.0251811)
(0.500598, -0.0450785, 0.0251733) - (0.500598, -0.0450785, 0.0251733)
(0.624441, -0.0646862, 0.0263803) - (0.624441, -0.0646862, 0.0263803)
(0.752759, -0.0870991, 0.0286244) - (0.752759, -0.0870991, 0.0286244)
(0.885119, -0.111864, 0.0312895) - (0.885119, -0.111864, 0.0312895)
(1.02089, -0.139456, 0.0342063) - (1.02089, -0.139456, 0.0342063)
(1.11306, -0.159616, 0.0355974) - (1.11306, -0.159616, 0.0355974)
(1.25409, -0.193291, 0.0365312) - (1.25409, -0.193291, 0.0365312)
(1.39767, -0.230521, 0.0363521) - (1.39767, -0.230521, 0.0363521)
(1.54402, -0.271826, 0.0352613) - (1.54402, -0.271826, 0.0352613)
(1.6436, -0.302139, 0.0341119) - (1.6436, -0.302139, 0.0341119)
(1.7966, -0.351617, 0.0318511) - (1.7966, -0.351617, 0.0318511)
(1.90082, -0.387501, 0.0301437) - (1.90082, -0.387501, 0.0301437)
(2.00709, -0.425813, 0.0283913) - (2.00709, -0.425813, 0.0283913)
(2.11499, -0.466686, 0.0270479) - (2.11499, -0.466686, 0.0270479)
(2.22377, -0.50983, 0.0258052) - (2.22377, -0.50983, 0.0258052)
