Mon Aug 24 20:17:54 2020

arraySize_param = 80
mseThreshold_param = 0.002
publish_rate = 10

prevInputArraySize: 19, newInputArraySize: 20, truncatedArraySize: 80
prevInputArraySize: 20, newInputArraySize: 20, truncatedArraySize: 80
prevInputArraySize: 20, newInputArraySize: 20, truncatedArraySize: 80
prevInputArraySize: 20, newInputArraySize: 20, truncatedArraySize: 80
prevInputArraySize: 20, newInputArraySize: 20, truncatedArraySize: 80
prevInputArraySize: 20, newInputArraySize: 20, truncatedArraySize: 80
prevInputArraySize: 20, newInputArraySize: 21, truncatedArraySize: 80
prevInputArraySize: 21, newInputArraySize: 21, truncatedArraySize: 80
prevInputArraySize: 21, newInputArraySize: 21, truncatedArraySize: 80
prevInputArraySize: 21, newInputArraySize: 21, truncatedArraySize: 80
prevInputArraySize: 21, newInputArraySize: 21, truncatedArraySize: 80
prevInputArraySize: 21, newInputArraySize: 22, truncatedArraySize: 80
prevInputArraySize: 22, newInputArraySize: 22, truncatedArraySize: 80
prevInputArraySize: 22, newInputArraySize: 22, truncatedArraySize: 80
prevInputArraySize: 22, newInputArraySize: 23, truncatedArraySize: 80
prevInputArraySize: 23, newInputArraySize: 23, truncatedArraySize: 80
prevInputArraySize: 23, newInputArraySize: 23, truncatedArraySize: 80
prevInputArraySize: 23, newInputArraySize: 24, truncatedArraySize: 80
prevInputArraySize: 24, newInputArraySize: 24, truncatedArraySize: 80
prevInputArraySize: 24, newInputArraySize: 24, truncatedArraySize: 80
prevInputArraySize: 24, newInputArraySize: 25, truncatedArraySize: 80
prevInputArraySize: 25, newInputArraySize: 25, truncatedArraySize: 80
prevInputArraySize: 25, newInputArraySize: 25, truncatedArraySize: 80
prevInputArraySize: 25, newInputArraySize: 26, truncatedArraySize: 80
prevInputArraySize: 26, newInputArraySize: 26, truncatedArraySize: 80
prevInputArraySize: 26, newInputArraySize: 27, truncatedArraySize: 80
prevInputArraySize: 27, newInputArraySize: 27, truncatedArraySize: 80
prevInputArraySize: 27, newInputArraySize: 27, truncatedArraySize: 80
prevInputArraySize: 27, newInputArraySize: 28, truncatedArraySize: 80
prevInputArraySize: 28, newInputArraySize: 28, truncatedArraySize: 80
prevInputArraySize: 28, newInputArraySize: 28, truncatedArraySize: 80
prevInputArraySize: 28, newInputArraySize: 29, truncatedArraySize: 80
prevInputArraySize: 29, newInputArraySize: 29, truncatedArraySize: 80
prevInputArraySize: 29, newInputArraySize: 30, truncatedArraySize: 80
prevInputArraySize: 30, newInputArraySize: 30, truncatedArraySize: 80
prevInputArraySize: 30, newInputArraySize: 31, truncatedArraySize: 80
prevInputArraySize: 31, newInputArraySize: 31, truncatedArraySize: 80
prevInputArraySize: 31, newInputArraySize: 31, truncatedArraySize: 80
prevInputArraySize: 31, newInputArraySize: 32, truncatedArraySize: 80
prevInputArraySize: 32, newInputArraySize: 32, truncatedArraySize: 80
prevInputArraySize: 32, newInputArraySize: 33, truncatedArraySize: 80
prevInputArraySize: 33, newInputArraySize: 33, truncatedArraySize: 80
prevInputArraySize: 33, newInputArraySize: 34, truncatedArraySize: 80
prevInputArraySize: 34, newInputArraySize: 34, truncatedArraySize: 80
prevInputArraySize: 34, newInputArraySize: 34, truncatedArraySize: 80
prevInputArraySize: 34, newInputArraySize: 35, truncatedArraySize: 80
prevInputArraySize: 35, newInputArraySize: 35, truncatedArraySize: 80
prevInputArraySize: 35, newInputArraySize: 36, truncatedArraySize: 80
prevInputArraySize: 36, newInputArraySize: 36, truncatedArraySize: 80
prevInputArraySize: 36, newInputArraySize: 37, truncatedArraySize: 80
prevInputArraySize: 37, newInputArraySize: 37, truncatedArraySize: 80
prevInputArraySize: 37, newInputArraySize: 38, truncatedArraySize: 80
prevInputArraySize: 38, newInputArraySize: 38, truncatedArraySize: 80
prevInputArraySize: 38, newInputArraySize: 39, truncatedArraySize: 80
prevInputArraySize: 39, newInputArraySize: 39, truncatedArraySize: 80
prevInputArraySize: 39, newInputArraySize: 40, truncatedArraySize: 80
prevInputArraySize: 40, newInputArraySize: 40, truncatedArraySize: 80
prevInputArraySize: 40, newInputArraySize: 41, truncatedArraySize: 80
prevInputArraySize: 41, newInputArraySize: 41, truncatedArraySize: 80
prevInputArraySize: 41, newInputArraySize: 42, truncatedArraySize: 80
prevInputArraySize: 42, newInputArraySize: 42, truncatedArraySize: 80
prevInputArraySize: 42, newInputArraySize: 43, truncatedArraySize: 80
prevInputArraySize: 43, newInputArraySize: 43, truncatedArraySize: 80
prevInputArraySize: 43, newInputArraySize: 44, truncatedArraySize: 80
prevInputArraySize: 44, newInputArraySize: 44, truncatedArraySize: 80
prevInputArraySize: 44, newInputArraySize: 45, truncatedArraySize: 80
prevInputArraySize: 45, newInputArraySize: 45, truncatedArraySize: 80
prevInputArraySize: 45, newInputArraySize: 46, truncatedArraySize: 80
prevInputArraySize: 46, newInputArraySize: 46, truncatedArraySize: 80
prevInputArraySize: 46, newInputArraySize: 47, truncatedArraySize: 80
prevInputArraySize: 47, newInputArraySize: 47, truncatedArraySize: 80
prevInputArraySize: 47, newInputArraySize: 48, truncatedArraySize: 80
prevInputArraySize: 48, newInputArraySize: 48, truncatedArraySize: 80
prevInputArraySize: 48, newInputArraySize: 49, truncatedArraySize: 80
prevInputArraySize: 49, newInputArraySize: 49, truncatedArraySize: 80
prevInputArraySize: 49, newInputArraySize: 50, truncatedArraySize: 80
prevInputArraySize: 50, newInputArraySize: 50, truncatedArraySize: 80
prevInputArraySize: 50, newInputArraySize: 51, truncatedArraySize: 80
prevInputArraySize: 51, newInputArraySize: 51, truncatedArraySize: 80
prevInputArraySize: 51, newInputArraySize: 52, truncatedArraySize: 80
prevInputArraySize: 52, newInputArraySize: 52, truncatedArraySize: 80
prevInputArraySize: 52, newInputArraySize: 53, truncatedArraySize: 80
prevInputArraySize: 53, newInputArraySize: 53, truncatedArraySize: 80
prevInputArraySize: 53, newInputArraySize: 54, truncatedArraySize: 80
prevInputArraySize: 54, newInputArraySize: 54, truncatedArraySize: 80
prevInputArraySize: 54, newInputArraySize: 55, truncatedArraySize: 80
prevInputArraySize: 55, newInputArraySize: 55, truncatedArraySize: 80
prevInputArraySize: 55, newInputArraySize: 56, truncatedArraySize: 80
prevInputArraySize: 56, newInputArraySize: 56, truncatedArraySize: 80
prevInputArraySize: 56, newInputArraySize: 57, truncatedArraySize: 80
prevInputArraySize: 57, newInputArraySize: 57, truncatedArraySize: 80
prevInputArraySize: 57, newInputArraySize: 58, truncatedArraySize: 80
prevInputArraySize: 58, newInputArraySize: 58, truncatedArraySize: 80
prevInputArraySize: 58, newInputArraySize: 59, truncatedArraySize: 80
prevInputArraySize: 59, newInputArraySize: 59, truncatedArraySize: 80
prevInputArraySize: 59, newInputArraySize: 60, truncatedArraySize: 80
prevInputArraySize: 60, newInputArraySize: 60, truncatedArraySize: 80
prevInputArraySize: 60, newInputArraySize: 61, truncatedArraySize: 80
prevInputArraySize: 61, newInputArraySize: 61, truncatedArraySize: 80
prevInputArraySize: 61, newInputArraySize: 62, truncatedArraySize: 80
prevInputArraySize: 62, newInputArraySize: 62, truncatedArraySize: 80
prevInputArraySize: 62, newInputArraySize: 63, truncatedArraySize: 80
prevInputArraySize: 63, newInputArraySize: 63, truncatedArraySize: 80
prevInputArraySize: 63, newInputArraySize: 64, truncatedArraySize: 80
prevInputArraySize: 64, newInputArraySize: 64, truncatedArraySize: 80
prevInputArraySize: 64, newInputArraySize: 65, truncatedArraySize: 80
prevInputArraySize: 65, newInputArraySize: 65, truncatedArraySize: 80
prevInputArraySize: 65, newInputArraySize: 66, truncatedArraySize: 80
prevInputArraySize: 66, newInputArraySize: 66, truncatedArraySize: 80
prevInputArraySize: 66, newInputArraySize: 67, truncatedArraySize: 80
prevInputArraySize: 67, newInputArraySize: 67, truncatedArraySize: 80
prevInputArraySize: 67, newInputArraySize: 68, truncatedArraySize: 80
prevInputArraySize: 68, newInputArraySize: 68, truncatedArraySize: 80
prevInputArraySize: 68, newInputArraySize: 69, truncatedArraySize: 80
prevInputArraySize: 69, newInputArraySize: 69, truncatedArraySize: 80
prevInputArraySize: 69, newInputArraySize: 70, truncatedArraySize: 80
prevInputArraySize: 70, newInputArraySize: 70, truncatedArraySize: 80
prevInputArraySize: 70, newInputArraySize: 71, truncatedArraySize: 80
prevInputArraySize: 71, newInputArraySize: 71, truncatedArraySize: 80
prevInputArraySize: 71, newInputArraySize: 72, truncatedArraySize: 80
prevInputArraySize: 72, newInputArraySize: 72, truncatedArraySize: 80
prevInputArraySize: 72, newInputArraySize: 72, truncatedArraySize: 80
prevInputArraySize: 72, newInputArraySize: 72, truncatedArraySize: 80
prevInputArraySize: 72, newInputArraySize: 72, truncatedArraySize: 80
prevInputArraySize: 72, newInputArraySize: 72, truncatedArraySize: 80
prevInputArraySize: 72, newInputArraySize: 73, truncatedArraySize: 80
prevInputArraySize: 73, newInputArraySize: 73, truncatedArraySize: 80
prevInputArraySize: 73, newInputArraySize: 73, truncatedArraySize: 80
prevInputArraySize: 73, newInputArraySize: 73, truncatedArraySize: 80
prevInputArraySize: 73, newInputArraySize: 73, truncatedArraySize: 80
prevInputArraySize: 73, newInputArraySize: 73, truncatedArraySize: 80
prevInputArraySize: 73, newInputArraySize: 74, truncatedArraySize: 80
prevInputArraySize: 74, newInputArraySize: 74, truncatedArraySize: 80
prevInputArraySize: 74, newInputArraySize: 74, truncatedArraySize: 80
prevInputArraySize: 74, newInputArraySize: 74, truncatedArraySize: 80
prevInputArraySize: 74, newInputArraySize: 74, truncatedArraySize: 80
